LCA_CASE_EMPLOYMENT_START_DATE,LCA_CASE_EMPLOYMENT_END_DATE,LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,LCA_CASE_WAGE_RATE_TO,LCA_CASE_WAGE_RATE_UNIT,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,PW_1,PW_UNIT_1,PW_SOURCE_1,OTHER_WAGE_SOURCE_1,YR_SOURCE_PUB_1
12/8/11,12/7/14,APPLIED MEDICAL RESOURCES CORP.,22872 AVENIDA EMPRESA,RANCHO SANTA MARGARITA,CA,92688,13-2011,Accountants and Auditors,SENIOR INTERNAL AUDITOR,90000,NA,Year,Y,1,IRVINE,CA,86320,Year,Other,OFLC ONLINE DATA CENTER,2011
10/17/11,10/17/14,MOODY'S ANALYTICS,405 HOWARD STREET,SAN FRANCISCO,CA,94105,15-1121,Computer Systems Analysts,CLIENT SERVICES AND SUPPORT ENGINEER (ASSISTANT DI,38.46,NA,Hour,N,1,CHICAGO,IL,30.42,Hour,OES,OFLC ONLINE DATA CENTER,2011
10/3/11,10/3/14,"BITGRAVITY, INC.",700 AIRPORT BLVD.,BURLINGAME,CA,94010,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,125000,NA,Year,Y,1,BURLINGAME,CA,107099,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,"MINDSPEED TECHNOLOGIES, INC.","4000 MACARTHUR BLVD, E. TOWER",NEWPORT BEACH,CA,92660,21-Nov,Marketing Managers,PRODUCT MANAGER SENIOR,115688,NA,Year,Y,1,NEWPORT BEACH,CA,103917,Year,OES,OFLC ONLINE DATA CENTER,2011
1/3/12,1/3/15,GLOBALFOUNDRIES U.S. INC.,840 N. MCCARTHY BLVD.,MILPITAS,CA,95035,17-2072,"Electronics Engineers, Except Computer",SENIOR TECHNOLOGY & INTEGRATION ENGINEER,86320,117500,Year,Y,1,EAST FISHKILL,NY,86320,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,"STUMBLEUPON, INC.",301 BRANNAN STREET,SAN FRANCISCO,CA,94107,15-1132,"Software Developers, Applications",SENIOR SOFTWARE ENGINEER,135000,135000,Year,Y,1,SAN FRANCISCO,CA,122200,Year,OES,OFLC ONLINE WAGE DATA CENTER,2011
12/1/11,11/30/14,SLAC NATIONAL ACCELERATOR LABORATORY,2575 SAND HILL ROAD,MENLO PARK,CA,94025,19-2099,"Physical Scientists, All Other",ENGINEERING PHYSICIST,9688,NA,Month,Y,1,MENLO PARK,CA,6935,Month,OES,OFLC ONLINE DATA CENTER/ACWIA,2011
1/1/12,12/31/14,INTEL CORPORATION,2200 MISSION COLLEGE BLVD,SANTA CLARA,CA,95054,17-2112,Industrial Engineers,PROCESS ENGINEER,84219,129500,Year,Y,1,HILLSBORO,OR,84219,Year,OES,OFLC ONLINE DATA CENTER,2011
10/24/11,10/23/14,"MOLINA HEALTHCARE, INC.","200 OCEANGATE, SUITE 100",LONG BEACH,CA,90802,15-1121,Computer Systems Analysts,SENIOR PROGRAMMER ANALYST,89000,NA,Year,Y,1,LONG BEACH,CA,84822,Year,OES,FLC ONLINE WAGE LIBRARY,2011
11/1/11,10/31/14,GLU MOBILE INC.,"45 FREMONT STREET, SUITE 2800",SAN FRANCISCO,CA,94105,13-1078,"Human Resources, Training, and Labor Relations Spe",HUMAN RESOURCES ANALYST,68000,76000,Year,Y,1,SAN FRANCISCO,CA,67163,Year,OES,OFLC ONLINE DATA CENTER,2011
10/10/11,10/9/14,MOZILLA CORPORATION,"650 CASTRO STREET, STE. 300",MOUNTAIN VIEW,CA,94041,15-1121,Computer Systems Analysts,SENIOR QA ENGINEER,96221,140000,Year,Y,1,MOUNTAIN VIEW,CA,96221,Year,OES,OFLC ONLINE DATA CENTER,2011
1/23/12,1/22/15,GOOGLE INC.,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER (SITE RELIABILITY),127000,NA,Year,Y,1,MOUNTAIN VIEW,CA,116355,Year,OES,OFLC ONLINE DATA CENTER,2011
10/7/11,10/6/14,QUALCOMM INCORPORATED,5775 MOREHOUSE DRIVE,SAN DIEGO,CA,92121,17-2072,"Electronics Engineers, Except Computer",STAFF HARDWARE ENGINEER,98987,147910,Year,Y,1,SAN DIEGO,CA,98987,Year,OES,OFLC ONLINE DATA CENTER,2011
10/7/11,10/6/14,QUALCOMM INCORPORATED,5775 MOREHOUSE DRIVE,SAN DIEGO,CA,92121,15-1133,"Software Developers, Systems Software",STAFF SOFTWARE CUSTOMER SUPPORT ENGINEER,98654,138080,Year,Y,1,SAN DIEGO,CA,98654,Year,OES,OFLC ONLINE DATA CENTER,2011
1/1/12,12/31/14,SLAC NATIONAL ACCELERATOR LABORATORY,2575 SAND HILL ROAD,MENLO PARK,CA,94025,19-2099,"Physical Scientists, All Other",STAFF SCIENTIST,10004,NA,Month,Y,1,MENLO PARK,CA,6935,Month,OES,OFLC ONLINE DATA CENTER/ACWIA,2011
10/3/11,10/2/14,APPLE INC.,"ONE INFINITE LOOP, M/S 84-REL",CUPERTINO,CA,95014,15-1031.00,"Computer Software Engineers, Applications",ANALYTICS DATA TOOL DEVELOPER,85000,NA,Year,Y,1,CUPERTINO,CA,82930,Year,OES,OFLC ONLINE DATA CENTER,2011
10/3/11,10/2/14,APPLE INC.,"ONE INFINITE LOOP, M/S 84-REL",CUPERTINO,CA,95014,13-1081.00,Logisticians,MATERIALS PROGRAM MANAGER,105000,NA,Year,Y,1,CUPERTINO,CA,89128,Year,OES,OFLC ONLINE DATA CENTER,2011
10/3/11,10/2/14,APPLE INC.,"ONE INFINITE LOOP, M/S 84-REL",CUPERTINO,CA,95014,13-2051.00,Financial Analysts,SAP FUNCTIONAL PROJECT LEAD - FICO,130000,NA,Year,Y,1,CUPERTINO,CA,117270,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,APPLE INC.,"ONE INFINITE LOOP, M/S 84-REL",CUPERTINO,CA,95014,15-1099.01,Software Quality Assurance Engineers and Testers,"IOS INTERNATIONAL QA ENGINEER, LOCALIZATION & RELE",120000,NA,Year,Y,1,CUPERTINO,CA,77210,Year,OES,OFLC ONLINE DATA CENTER,2011
10/10/11,10/9/14,"PAYPAL, INC.",2211 NORTH FIRST STREET,SAN JOSE,CA,95131,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER 2,93000,NA,Year,Y,1,SAN JOSE,CA,90716,Year,Other,RADFORD GLOBAL TECHNOLOGY SURVEY,2011
10/1/11,10/1/14,EVERNOTE CORPORATION,333 W. EVELYN AVENUE,MOUNTAIN VIEW,CA,94041,15-1132,"Software Developers, Applications",SENIOR SOFTWARE ENGINEER,120000,NA,Year,Y,1,MOUNTAIN VIEW,CA,116355,Year,OES,OFLC ONLINE DATA CENTER,2011
10/10/11,10/10/14,"INOVANT, LLC",900 METRO CENTER BOULEVARD,FOSTER CITY,CA,94404,15-1132,"Software Developers, Applications",SR. SOFTWARE ENGINEER,109550,120100,Year,Y,1,FOSTER CITY,CA,107099,Year,OES,OFLC ONLINE DATA CENTER,2011
10/4/11,10/3/14,"IMPRESSION TECHNOLOGY, INC.","1777 NORTH CALIFORNIA BLVD., SUITE 240",WALNUT CREEK,CA,94596,15-1131,Computer Programmers,COMPUTER PROGRAMMER ANALYST,68578,72000,Year,Y,1,WALNUT CREET,CA,68578,Year,OES,OFLC ONLINE DATA CENTER,2011
10/10/11,10/9/14,"ECOFACTOR, INC.",1775 WOODSIDE RD.,REDWOOD CITY,CA,94061,15-1111,Computer and Information Research Scientists,SENIOR RESEARCH SOFTWARE ENGINEER,130000,NA,Year,Y,1,REDWOOD CITY,CA,105394,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,GOOGLE INC.,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,163800,NA,Year,Y,1,SANTA MONICA,CA,75608,Year,OES,OFLC ONLINE DATA CENTER,2011
11/14/11,11/13/14,GOOGLE INC.,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,127000,NA,Year,Y,1,SAN BRUNO,CA,107099,Year,OES,OFLC ONLINE DATA CENTER,2011
10/31/11,10/30/14,TRINET HR CORPORATION,1100 SAN LEANDRO BLVD.,SAN LEANDRO,CA,94577,15-1132,"Software Developers, Applications",UI DEVELOPER / SOFTWARE ENGINEER,110000,NA,Year,Y,1,SAN LEANDRO,CA,100714,Year,OES,OFLC ONLINE DATA CENTER,2011
10/24/11,10/23/14,KLA-TENCOR CORPORATION,ONE TECHNOLOGY DRIVE,MILPITAS,CA,95035,17-2071,Electrical Engineers,PRODUCT DEVELOPMENT ENGINEER,95000,NA,Year,Y,1,MILPITAS,CA,91936,Year,OES,OFLC ONLINE DATA CENTER,2011
1/1/12,1/1/15,TAVANT TECHNOLOGIES INC.,"3101 JAY STREET, SUITE 101",SANTA CLARA,CA,95054,15-1132,"Software Developers, Applications",SENIOR SOFTWARE ENGINEER,75000,NA,Year,Y,1,CINCINNATI,OH,66810,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,22-Nov,Sales Managers,SALES MANAGER,94120,130000,Year,Y,2,JERSEY CITY,NJ,94120,Year,Other,OFLC ONLINE DATACENTER,2011
10/3/11,10/2/14,"CALSOFT LABS, INC.",2953 BUNKER HILL LANE,SANTA CLARA,CA,95054,15-1121,Computer Systems Analysts,SOFTWARE TEST ENGINEER,85000,NA,Year,Y,2,SANTA CLARA,CA,79102,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,"RIOT GAMES, INC.","2450 BROADWAY, SUITE 100",SANTA MONICA,CA,90404,15-1132,"Software Developers, Applications",DEVOPS SYSTEMS ENGINEER,1.00E+05,NA,Year,Y,1,SANTA MONICA,CA,60882,Year,OES,OFLC ONLINE DATA CENTER,2011
10/17/11,10/16/14,BELKIN INTERNATIONAL,12045 EAST WATERFRONT DRIVE,PLAYA VISTA,CA,90094,15-1799,"Computer Occupations, All Other*",SOFTWARE QUALITY ENGINEER,95000,NA,Year,Y,1,PLAYA VISTA,CA,80330,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,"UNISEM (SUNNYVALE), INC.",1284 FORGEWOOD AVENUE,SUNNYVALE,CA,94089,13-2011,Accountants and Auditors,ACCOUNTANT,55000,NA,Year,Y,1,SUNNYVALE,CA,53747,Year,OES,OFLC ONLINE DATA CENTER,2011
9/28/11,9/27/14,KLA-TENCOR CORPORATION,ONE TECHNOLOGY DRIVE,MILPITAS,CA,95035,17-2071,Electrical Engineers,FIELD APPLICATIONS ENGINEER,111242,115000,Year,Y,1,MILPITAS,CA,111242,Year,Other,2011 ASSETS UNLIMITED SALARY SURVEY,2011
11/1/11,10/31/14,"TBWA WORLDWIDE, INC.",12539 BEATRICE STREET,LOS ANGELES,CA,90066,27-1011,Art Directors,SENIOR ART DIRECTOR,120000,180000,Year,Y,1,LOS ANGELES,CA,116896,Year,OES,OFLC ONLINE DATA CENTER,2011
10/3/11,10/2/14,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,SANTA CLARA,CA,95050,17-2061,Computer Hardware Engineers,BOARD SOLUTIONS VALIDATION ENGINEER,102000,NA,Year,Y,1,SANTA CLARA,CA,83275,Year,Other,RADFORD GLOBAL TECHNOLOGY SURVEY,2011
